WordENG;WordPL
zigzag;linia łamana 
y-axis;os rzednych 
x-axis;os odciętych 
width;szerokość 
wide;szeroki 
whole;calośc 
wavy line;linia falista 
volume;objetość 
vertical number line;os rzedna 
vertical;pionowy 
vertex;wierzchołek 
triangle;trojkąt 
trapezoid;trapez 
trapezium;trapez 
top;górny 
the least common denominator;najmniejszy wspólny mianownik 
tangent;styczna 
take a root;wyciagnąć pierwiastek 
surface area;obszar powierzchni 
superscript;indeks górny 
sum;suma 
subtrahend;odjemnik 
subtraction;odejmowanie 
subtract;odejmować 
subscript;indeks dolny 
straight line;linia prosta 
straight angle;kąt polpelny 
square root;pierwiastek kwadratowy 
square;kwadrat 
spherical;kulisty 
sphere;kula 
solve an equation;rozwiązać równanie 
solution;rozwiązanie 
solid line;linia ciągła 
sketch a graph;narysować wykres 
side;bok 
set of points;zbior punktów 
semisphere;połkula 
semicircle;połokrąg 
segment perpendicular bisector;symetralna odcinka 
segment;odcinek 
segment;kawałek 
segment;część 
section;wycinek 
section;odcinek 
section;cześć 
secant;sieczna 
scalene;nierównoboczny 
satisfy an equation;spelnić równanie 
rounded;zaokrąglony 
round;zaokraglić 
root;pierwiastek 
right angled triangle;trójkąt prostokątny 
right angle;kat prosty 
rhombus;romb 
rhomboid;równoległobok 
repeating decimal;ułamek dziesiętny okresowy 
remainder;reszta 
reflex angle;kąt wklęsły 
reduce to lowest terms;skrócić ułamek 
recurring decimal;ułamek dziesiętny okresowy 
rectangular;prostokątny 
rectangle coordinate system;prostokątny układ wspołrzędnych 
rectangle;prostokąt 
reciprocal;wielkość odwrotna 
real number;liczba rzeczywista 
rational number;liczba wymierna 
raise a number to a power;podnosić liczbę do potegi 
radius;promień 
quotient;iloraz 
quadrant;ćwiartka 
pyramid;ostrosłup 
proper fraction;ułamek właściwy 
product;iloczyn 
prime number;liczba pierwsza 
power;potęga 
positive number;liczba dodatnia 
polygon;wielobok 
pointed;spiczasty 
pointed;ostro zakończony 
point;punkt 
plane;płaszczyzna 
perpendicular lines;linie prostopadłe 
perpendicular lines;linie pionowe 
perpendicular;prostopadły 
perpendicular;pionowy 
perimeter;obwód 
pentagonal;pięciokątny 
pentagon;pięciokąt 
parallelogram;równoległobok 
parallel lines;linie rownoległe 
parallel;rownoległy 
oval;owalny 
oval;owal 
ordinal number;liczba porządkowa 
ordered pair;para uporządkowana 
operation;działanie 
odd number;liczba nieparzysta 
octagon;ośmiokąt 
obtuse-angled triangle;trójkąt rozwartokątny 
obtuse angle;kąt rozwarty 
numerator;licznik 
numeral;cyfra 
number line;oś liczbowa 
number;liczba 
negative number;liczba ujemna 
naught/nought;zero 
natural number;liczba naturalna 
multiply;mnożenie 
multiplier;mnożnik 
multiplication;mnożenie 
multiplicand;mnożna 
minuend;odjemna 
line;linia prosta 
length;długość 
leg;przyprostokątna 
isosceles triangle;trójkąt równoramienny 
isosceles;równoramienny 
intersecting lines;linie przecinające się 
intersect;przecinać 
intersect;krzyżować sie 
interior region;obszar wewnętrzny 
interior;wnętrze 
interior;część wewnetrzna 
integer;liczba całkowita 
inscribe in;wpisać w 
inequality;nierówność 
hypotenuse;przeciwprostokątna 
horizontal number line;oś odcietych 
horizontal;poziomy 
hexagonal;sześciokątny 
hexagon;szesciokąt 
hemispherical;połkulisty 
hemisphere;połkula 
height;wysokość 
half-plane;połpłaszczyzna 
greatest common factor;największy wspólny dzielnik 
greatest common divisor;największy wspólny dzielnik 
full angle;kąt pełny 
fraction;ułamek 
formula;wzór 
factorize;rozkładać na czynniki 
factorial;silnia 
factor;czynnik 
face;ściana 
extract a root;wyciągać pierwiastek 
expanded notation;zapis w formie rozszerzonej 
even numer;liczba parzysta 
equilateral triangle;trójkąt równoboczny 
equation;równanie 
edge;krawędź 
dotted line;linia kropkowana 
divisor;dzielnik 
division;dzielenie 
dividend;dzielna 
divide;dzielić 
displace;przesuwać 
displace;przenosić 
digit;cyfra 
difference;rożnica 
diameter;średnica 
diagonal;przekątna 
diagonal;linia ukośna 
derivative;pochodna 
depth;głębokość 
denominator;mianownik 
decimal fraction;ułamek dziesiętny 
cylindrical;walcowaty 
cylindrical;cylindryczny 
cylinder;walec 
curved line;linia krzywa 
curve;krzywa 
cubical;sześcienny 
cube;sześcian 
counter-clockwise;przeciwny do ruchu wskazowek zegara 
cord;cięciwa 
convex;wypukły 
congruent;przystający 
cone;stożek 
concavity;wklęsłość 
concave;wklęsły 
common logarithm;logarytm zwykly 
common logarithm;logarytm dziesiętny 
common fraction;ułamek zwykły 
clockwise;zgodny z ruchem wskazówek zegara 
circumscribe about;opisać na 
circumference;obwód koła 
circumcircle;okrąg opisany 
circular;okrągły 
circular;kolisty 
circle;okrąg 
circle;koło 
chord;cięciwa 
centre;środek 
broken line;linia przerywana 
bracket;nawias 
bottom;dolny 
block;bryła 
bisectrix;symetralna 
bisector;dwusieczna 
bisect;przecinać 
bisect;dzielic na pół 
base-ten system;system dziesiątkowy 
base;podstawa 
base;baza 
area;powierzchnia 
area;obszar 
arc;łuk 
apex;wierzchołek 
anti-clockwise;przeciwny do ruchu wskazowek zegara 
angle;kąt 
altitude;wysokość 
adjacent;przyległy 
addition;dodawanie 
addend;składnik sumy 
add;dodawać 
acute angle;kąt ostry 
a third;jedna trzecia 
a half;połowa 
