WordENG;WordPL
academic;nauczyciel akademicki
academic;pracowni naukowo dydaktyczny
accomplish;osiągnąć
accomplish;wykonać
accomplish;zakończyć pomyślnie
accomplish;wypełnić
achievement;osiągnięcie
achievement;dokonanie
get acquainted with;być zaznajomionym z
get acquainted with;być obeznanym z czymś
adapt;przystosować
adapt;zastosować
apparatus;sprzęt
apparatus;urządzenie
apparatus;aparat
application;zastosowanie
appropiate;odpowiedni
appropiate;stosowny
appropiate;właściwy
associate professor;profesor nadzwyczajny
award;przyznawać
Bachelor of Arts;licencjat w dziedzinie nauk humanistycznych
professional background;przygotowanie
brokerages houses;pośrednictwo nieruchomości
Bachelor of Science;licencjat w dziedzinie nauk ścisłych
carry out research;przeprowadzić badania
contribution to somethink;brać udział w czymś
currently;obecnie
curriculum;program nauczania
Dean;Dziekan
Dean's Office;Dziekanat
degree;stopień naukowy
department;wydział
department;katedra
design;projekt
design;projektować
design;model
design;wzór
dozen;tuzin
dozen;wiele
economical;oszczędny
economical;ekonomiczny
effective;efektywny
effective;skuteczny
efficiently;sprawnie
efficiently;efektywnie
efficiently;wydajnie
engineer;inżynier
engineering;inżynieria
enterprise;przedsięwzięcie
enterprise;projekt
enterprise;działalność gospodarcza
enterprise management;zarządzanie przedsiębiorstwem
entirely;całkowicie
entirely;wyłącznie
entitle somebody to do something;upowaznić kogoś do zrobienia czegoś
equipped with;wyposarzony w
evaluation;ocena
evaluation;wycena
exchange;wymiana
Faculty of Biotechnology and Food Sciences;Wydział Biotechnologi i Nauk o Żywności
Faculty of Chemistry;Wydział Chemiczny
Faculty of Civil Engineering, Architecture and Evironmental Engineering;Wydział Budownictwa i Architektury i Inżynieri Środowiska
Faculty of Electrical,Electronic,Computer and Control Engineering;WEEIA;
Faculty of Material Technologies and Textilies Design;Wydział Technologi Materiałowych i Wzornictwa Tekstyliów
Faculty of Mechanical Engineering;Wydział Mechaniczny
Faculty of Organization and Management;Wydział Organizacji i Zarządzania
Faculty of Process and Environmental Engineering;Wydział Inżynieri Procesowej i Ochrony Środowiska
Faculty of Technical Physic, Computer Science and Applied Mathematics;WTIMS
field;dziedzina
fulfill;spełniać
fulfill;zrealizować
fulfill;zaspokoić
gain;zyskać
gain;zdobyć
gain;nabrać
graduate;ukończyć
graduate;absolwent
improve;poprawić
improve;zwiększyć
indispensable;niezbędny
indispensable;niezastąpiony
integrate into something;wcielić coś
integrate into something;włączyć coś
integrate into something;wprowadzić coś
interdisciplinary;interdyscyplinarny
interdisciplinary;wielodziedzinowy
International Faculty of Engineering;Centrum Kształcenia Międzynarodowego
Institute of Papermaking and Printing;Instytut Papiernictwa i Poligrafi
inventiveness;inwencja
inventiveness;pomysłowość
issue of;kwestia
knowladge of;wiedza o
Lodz University of Technology;Politechnika Łódzka
Master of Arts;magister nauk humanistycznych
make contribution to something;wnieść wkład w coś
Master of Science;magister nauk ścisłych
Master of Science;magister inżynier
oriented at;zorientowany na
outstanding;wybitny
outstanding;wyróżniający się
particulary;szczególnie
particulary;w szczególności
prevention;zapobieganie
prevention;profilaktyka
prevention;prewencja
postdoctoral;podoktorancki
postdoctoral;habilitacyjny
pride oneself on;szczycić się
pride oneself on;chlubić się
profound;głęboki
profound;gruntowny
Rector;Rektor
research;badania naukowe
revitalization;ożywienie
revitalization;rewitalizacja
specialize in;specjalizować się w
sufficient;dostateczny
sufficient;wystarczający
take pride in something;być dumnym z czegoś
various;różny
various;rozmaity
