WordENG;WordPL
acomplished;znakomity
acomplished;utalentowany
allocated resources;przydzielać zasoby
budget;budżet
catch up;nadrobić zaległości
catch up;nadgonić zaległości
a charity;fundacja charytatywna
a charity;działalność charytatywna
commited;zaangażowany
community;społeczność
meet the deadline;zdążyć na planowany czas
meet the deadline;eyrobić się w terminie
meet the deadline;zdążyć na planowany termin
updates;uaktualnienia
environmentally friendly;przyjazny dla środowiska
get on with;radzić sobie zaangażowany
issue;kwestia
fall behind;mieć opóźnienie
ahead of schedule;przed terminem
loan;pożyczka
objective;założenie
objective;cel
resources;zasoby
sustainable;nienaruszający równowagi
volunteers;wolontariusze
volunteerism;wolontariat
voluntary;ochotniczy
voluntary;dobrowolny
volunteered;zgłosić się na ochotnika
profit;zysk
profitable;przynoszacy zyski
to develop;rozwijać się
development;rozwój
developer;programista
developer;wywoływacz
developer;developer	
experineced;doświadczony
inexperienced;niedoświadczony
stress;stress
stressful;stresujący
reward;nagroda
rewarding;satysfakcjonujący



